date,year,month,dayofyear,dayOfMonth,dayOfWeek,week
2023-03-08,2023,3,67,8,5,9
2023-03-09,2023,3,68,9,6,9
2023-03-10,2023,3,69,10,7,9
2023-03-11,2023,3,70,11,1,10
2023-03-12,2023,3,71,12,2,10
2023-03-13,2023,3,72,13,3,10
2023-03-14,2023,3,73,14,4,10
2023-03-15,2023,3,74,15,5,10
2023-03-16,2023,3,75,16,6,10
2023-03-17,2023,3,76,17,7,10
2023-03-18,2023,3,77,18,1,11
2023-03-19,2023,3,78,19,2,11
2023-03-20,2023,3,79,20,3,11
2023-03-21,2023,3,80,21,4,11
2023-03-22,2023,3,81,22,5,11
2023-03-23,2023,3,82,23,6,11
2023-03-24,2023,3,83,24,7,11
2023-03-25,2023,3,84,25,1,12
2023-03-26,2023,3,85,26,2,12
2023-03-27,2023,3,86,27,3,12
2023-03-28,2023,3,87,28,4,12
2023-03-29,2023,3,88,29,5,12
2023-03-30,2023,3,89,30,6,12
2023-03-31,2023,3,90,31,7,12
2023-04-01,2023,4,91,1,1,13
2023-04-02,2023,4,92,2,2,13
2023-04-03,2023,4,93,3,3,13
2023-04-04,2023,4,94,4,4,13
2023-04-05,2023,4,95,5,5,13
2023-04-06,2023,4,96,6,6,13
2023-04-07,2023,4,97,7,7,13
2023-04-08,2023,4,98,8,1,14
2023-04-09,2023,4,99,9,2,14
2023-04-10,2023,4,100,10,3,14
2023-04-11,2023,4,101,11,4,14
2023-04-12,2023,4,102,12,5,14
2023-04-13,2023,4,103,13,6,14
2023-04-14,2023,4,104,14,7,14
2023-04-15,2023,4,105,15,1,15
2023-04-16,2023,4,106,16,2,15
2023-04-17,2023,4,107,17,3,15
2023-04-18,2023,4,108,18,4,15
2023-04-19,2023,4,109,19,5,15
2023-04-20,2023,4,110,20,6,15
2023-04-21,2023,4,111,21,7,15
2023-04-22,2023,4,112,22,1,16
2023-04-23,2023,4,113,23,2,16
2023-04-24,2023,4,114,24,3,16
2023-04-25,2023,4,115,25,4,16
2023-04-26,2023,4,116,26,5,16
2023-04-27,2023,4,117,27,6,16
2023-04-28,2023,4,118,28,7,16
2023-04-29,2023,4,119,29,1,17
2023-04-30,2023,4,120,30,2,17
2023-05-01,2023,5,121,1,3,17
2023-05-02,2023,5,122,2,4,17
2023-05-03,2023,5,123,3,5,17
2023-05-04,2023,5,124,4,6,17
2023-05-05,2023,5,125,5,7,17
2023-05-06,2023,5,126,6,1,18
2023-05-07,2023,5,127,7,2,18
2023-05-08,2023,5,128,8,3,18
2023-05-09,2023,5,129,9,4,18
2023-05-10,2023,5,130,10,5,18
2023-05-11,2023,5,131,11,6,18
2023-05-12,2023,5,132,12,7,18
2023-05-13,2023,5,133,13,1,19
2023-05-14,2023,5,134,14,2,19
2023-05-15,2023,5,135,15,3,19
2023-05-16,2023,5,136,16,4,19
2023-05-17,2023,5,137,17,5,19
2023-05-18,2023,5,138,18,6,19
2023-05-19,2023,5,139,19,7,19
2023-05-20,2023,5,140,20,1,20
2023-05-21,2023,5,141,21,2,20
2023-05-22,2023,5,142,22,3,20
2023-05-23,2023,5,143,23,4,20
2023-05-24,2023,5,144,24,5,20
2023-05-25,2023,5,145,25,6,20
2023-05-26,2023,5,146,26,7,20
2023-05-27,2023,5,147,27,1,21
2023-05-28,2023,5,148,28,2,21
2023-05-29,2023,5,149,29,3,21
2023-05-30,2023,5,150,30,4,21
2023-05-31,2023,5,151,31,5,21
2023-06-01,2023,6,152,1,6,21
2023-06-02,2023,6,153,2,7,21
2023-06-03,2023,6,154,3,1,22
2023-06-04,2023,6,155,4,2,22
2023-06-05,2023,6,156,5,3,22
2023-06-06,2023,6,157,6,4,22
2023-06-07,2023,6,158,7,5,22
2023-06-08,2023,6,159,8,6,22
2023-06-09,2023,6,160,9,7,22
2023-06-10,2023,6,161,10,1,23
2023-06-11,2023,6,162,11,2,23
2023-06-12,2023,6,163,12,3,23
2023-06-13,2023,6,164,13,4,23
2023-06-14,2023,6,165,14,5,23
2023-06-15,2023,6,166,15,6,23
2023-06-16,2023,6,167,16,7,23
2023-06-17,2023,6,168,17,1,24
2023-06-18,2023,6,169,18,2,24
2023-06-19,2023,6,170,19,3,24
2023-06-20,2023,6,171,20,4,24
2023-06-21,2023,6,172,21,5,24
2023-06-22,2023,6,173,22,6,24
2023-06-23,2023,6,174,23,7,24
2023-06-24,2023,6,175,24,1,25
2023-06-25,2023,6,176,25,2,25
2023-06-26,2023,6,177,26,3,25
2023-06-27,2023,6,178,27,4,25
2023-06-28,2023,6,179,28,5,25
2023-06-29,2023,6,180,29,6,25
2023-06-30,2023,6,181,30,7,25
2023-07-01,2023,7,182,1,1,26
2023-07-02,2023,7,183,2,2,26
2023-07-03,2023,7,184,3,3,26
2023-07-04,2023,7,185,4,4,26
2023-07-05,2023,7,186,5,5,26
2023-07-06,2023,7,187,6,6,26
2023-07-07,2023,7,188,7,7,26
2023-07-08,2023,7,189,8,1,27
2023-07-09,2023,7,190,9,2,27
2023-07-10,2023,7,191,10,3,27
2023-07-11,2023,7,192,11,4,27
2023-07-12,2023,7,193,12,5,27
2023-07-13,2023,7,194,13,6,27
2023-07-14,2023,7,195,14,7,27
2023-07-15,2023,7,196,15,1,28
2023-07-16,2023,7,197,16,2,28
2023-07-17,2023,7,198,17,3,28
2023-07-18,2023,7,199,18,4,28
2023-07-19,2023,7,200,19,5,28
2023-07-20,2023,7,201,20,6,28
2023-07-21,2023,7,202,21,7,28
2023-07-22,2023,7,203,22,1,29
2023-07-23,2023,7,204,23,2,29
2023-07-24,2023,7,205,24,3,29
2023-07-25,2023,7,206,25,4,29
2023-07-26,2023,7,207,26,5,29
2023-07-27,2023,7,208,27,6,29
2023-07-28,2023,7,209,28,7,29
2023-07-29,2023,7,210,29,1,30
2023-07-30,2023,7,211,30,2,30
2023-07-31,2023,7,212,31,3,30
2023-08-01,2023,8,213,1,4,30
2023-08-02,2023,8,214,2,5,30
2023-08-03,2023,8,215,3,6,30
2023-08-04,2023,8,216,4,7,30
2023-08-05,2023,8,217,5,1,31
2023-08-06,2023,8,218,6,2,31
2023-08-07,2023,8,219,7,3,31
2023-08-08,2023,8,220,8,4,31
2023-08-09,2023,8,221,9,5,31
2023-08-10,2023,8,222,10,6,31
2023-08-11,2023,8,223,11,7,31
2023-08-12,2023,8,224,12,1,32
2023-08-13,2023,8,225,13,2,32
2023-08-14,2023,8,226,14,3,32
2023-08-15,2023,8,227,15,4,32
2023-08-16,2023,8,228,16,5,32
2023-08-17,2023,8,229,17,6,32
2023-08-18,2023,8,230,18,7,32
2023-08-19,2023,8,231,19,1,33
2023-08-20,2023,8,232,20,2,33
2023-08-21,2023,8,233,21,3,33
2023-08-22,2023,8,234,22,4,33
2023-08-23,2023,8,235,23,5,33
2023-08-24,2023,8,236,24,6,33
2023-08-25,2023,8,237,25,7,33
2023-08-26,2023,8,238,26,1,34
2023-08-27,2023,8,239,27,2,34
2023-08-28,2023,8,240,28,3,34
2023-08-29,2023,8,241,29,4,34
2023-08-30,2023,8,242,30,5,34
2023-08-31,2023,8,243,31,6,34
2023-09-01,2023,9,244,1,7,34
2023-09-02,2023,9,245,2,1,35
2023-09-03,2023,9,246,3,2,35
2023-09-04,2023,9,247,4,3,35
2023-09-05,2023,9,248,5,4,35
2023-09-06,2023,9,249,6,5,35
2023-09-07,2023,9,250,7,6,35
2023-09-08,2023,9,251,8,7,35
2023-09-09,2023,9,252,9,1,36
2023-09-10,2023,9,253,10,2,36
2023-09-11,2023,9,254,11,3,36
2023-09-12,2023,9,255,12,4,36
2023-09-13,2023,9,256,13,5,36
2023-09-14,2023,9,257,14,6,36
2023-09-15,2023,9,258,15,7,36
2023-09-16,2023,9,259,16,1,37
2023-09-17,2023,9,260,17,2,37
2023-09-18,2023,9,261,18,3,37
2023-09-19,2023,9,262,19,4,37
2023-09-20,2023,9,263,20,5,37
2023-09-21,2023,9,264,21,6,37
2023-09-22,2023,9,265,22,7,37
2023-09-23,2023,9,266,23,1,38
2023-09-24,2023,9,267,24,2,38
2023-09-25,2023,9,268,25,3,38
2023-09-26,2023,9,269,26,4,38
2023-09-27,2023,9,270,27,5,38
